,Province,Facilities Reporting,Admissions to Date,Died to Date,Discharged to date,Currently Admitted,Currently in ICU,Currently Ventilated,Currently Oxygenated,Admissions in Previous Day,Date,Eastern Cape,18,13219,3175,9918,55,8,5,5.1,0,Unnamed: 0,Unnamed: 1,Unnamed: 2,Currently Admitted 
179,,44,32990.0,5699.0,26597.0,562.0,96.0,44.0,27.0,1.0,2021/11/20,,,,,,,,,,,,,,
180,,258,200658.0,37332.0,160032.0,1189.0,217.0,98.0,130.0,6.0,2021/11/20,,,,,,,,,,,,,,
181,,Summary of reported COVID-19 admissions by hospital group,,,,,,,,,2021/11/20,,,,,,,,,,,,,,
182,,18,13230.0,3178.0,9946.0,38.0,,,5.0,3.0,2021/11/21,,,,,,,,,,,Eastern Cape,6.0,0.0,
183,,20,11979.0,2134.0,9648.0,32.0,,,8.0,7.0,2021/11/21,,,,,,,,,,,Free State,3.0,0.0,
184,,94,72310.0,13785.0,57723.0,323.0,,,54.0,19.0,2021/11/21,,,,,,,,,,,Gauteng,42.0,4.0,
185,,47,37386.0,6900.0,29916.0,177.0,,,40.0,16.0,2021/11/21,,,,,,,,,,,KwaZulu-Natal,42.0,0.0,
186,,7,7627.0,1639.0,5848.0,5.0,,,0.0,0.0,2021/11/21,,,,,,,,,,,Limpopo,1.0,0.0,
187,,9,9579.0,1594.0,7890.0,13.0,,,2.0,1.0,2021/11/21,,,,,,,,,,,Mpumalanga,0.0,0.0,
188,,13,10847.0,1609.0,8768.0,41.0,,,6.0,4.0,2021/11/21,,,,,,,,,,,North West,8.0,0.0,
189,,6,4727.0,794.0,3702.0,9.0,,,5.0,4.0,2021/11/21,,,,,,,,,,,Northern Cape,0.0,0.0,
190,,44,32992.0,5699.0,26599.0,562.0,,,95.0,44.0,2021/11/21,,,,,,,,,,,Western Cape,27.0,1.0,
191,,258,200677.0,37332.0,160040.0,1200.0,,,215.0,98.0,2021/11/21,,,,,,,,,,,Total,129.0,5.0,
